time,geo_value,geo_type,covid,flu,rsv
2023-08-26,Central,OH Region,87,5,2
2023-08-26,East,OH Region,119,1,3
2023-08-26,North East,OH Region,27,0,0
2023-08-26,North West,OH Region,9,0,0
2023-08-26,Ontario,Province,437,17,15
2023-08-26,Toronto,OH Region,75,2,1
2023-08-26,West,OH Region,121,9,9
2023-08-19,Central,OH Region,61,2,1
2023-08-19,East,OH Region,87,0,3
2023-08-19,North East,OH Region,23,0,0
2023-08-19,North West,OH Region,2,0,0
2023-08-19,Ontario,Province,328,12,12
2023-08-19,Toronto,OH Region,65,3,0
2023-08-19,West,OH Region,88,7,9
2023-08-12,Central,OH Region,43,1,3
2023-08-12,East,OH Region,43,1,3
2023-08-12,North East,OH Region,20,0,0
2023-08-12,North West,OH Region,4,0,0
2023-08-12,Ontario,Province,252,14,18
2023-08-12,Toronto,OH Region,69,6,0
2023-08-12,West,OH Region,70,6,12
2023-08-05,Central,OH Region,49,2,2
2023-08-05,East,OH Region,28,0,2
2023-08-05,North East,OH Region,13,0,0
2023-08-05,North West,OH Region,7,0,0
2023-08-05,Ontario,Province,239,12,18
2023-08-05,Toronto,OH Region,65,2,1
2023-08-05,West,OH Region,77,7,12
2023-07-29,Central,OH Region,43,1,1
2023-07-29,East,OH Region,25,0,2
2023-07-29,North East,OH Region,12,0,0
2023-07-29,North West,OH Region,16,0,0
2023-07-29,Ontario,Province,246,15,16
2023-07-29,Toronto,OH Region,59,3,1
2023-07-29,West,OH Region,92,11,11
2023-07-22,Central,OH Region,40,0,3
2023-07-22,East,OH Region,33,0,1
2023-07-22,North East,OH Region,10,0,0
2023-07-22,North West,OH Region,22,0,0
2023-07-22,Ontario,Province,228,13,17
2023-07-22,Toronto,OH Region,52,2,2
2023-07-22,West,OH Region,71,10,10
2023-07-15,Central,OH Region,35,1,1
2023-07-15,East,OH Region,33,0,0
2023-07-15,North East,OH Region,9,0,1
2023-07-15,North West,OH Region,10,0,0
2023-07-15,Ontario,Province,217,16,14
2023-07-15,Toronto,OH Region,49,4,1
2023-07-15,West,OH Region,81,11,11
2023-07-08,Central,OH Region,36,2,0
2023-07-08,East,OH Region,28,0,0
2023-07-08,North East,OH Region,7,0,0
2023-07-08,North West,OH Region,6,0,0
2023-07-08,Ontario,Province,203,17,14
2023-07-08,Toronto,OH Region,54,1,0
2023-07-08,West,OH Region,71,14,13
2023-07-01,Central,OH Region,36,3,0
2023-07-01,East,OH Region,30,0,0
2023-07-01,North East,OH Region,11,0,0
2023-07-01,North West,OH Region,8,0,0
2023-07-01,Ontario,Province,214,18,12
2023-07-01,Toronto,OH Region,60,4,0
2023-07-01,West,OH Region,71,10,11
2023-06-24,Central,OH Region,43,3,1
2023-06-24,East,OH Region,47,0,0
2023-06-24,North East,OH Region,8,0,1
2023-06-24,North West,OH Region,4,0,0
2023-06-24,Ontario,Province,238,22,19
2023-06-24,Toronto,OH Region,61,4,2
2023-06-24,West,OH Region,76,14,15
2023-06-17,Central,OH Region,66,3,2
2023-06-17,East,OH Region,43,0,0
2023-06-17,North East,OH Region,13,0,0
2023-06-17,North West,OH Region,6,0,0
2023-06-17,Ontario,Province,282,23,19
2023-06-17,Toronto,OH Region,64,5,0
2023-06-17,West,OH Region,91,14,16
2023-06-10,Central,OH Region,81,6,1
2023-06-10,East,OH Region,57,0,0
2023-06-10,North East,OH Region,15,0,0
2023-06-10,North West,OH Region,6,0,0
2023-06-10,Ontario,Province,363,28,14
2023-06-10,Toronto,OH Region,89,7,0
2023-06-10,West,OH Region,112,14,13
2023-06-03,Central,OH Region,90,6,1
2023-06-03,East,OH Region,70,1,0
2023-06-03,North East,OH Region,25,0,0
2023-06-03,North West,OH Region,5,0,0
2023-06-03,Ontario,Province,443,29,17
2023-06-03,Toronto,OH Region,119,9,1
2023-06-03,West,OH Region,132,13,14
2023-05-27,Central,OH Region,97,6,2
2023-05-27,East,OH Region,55,3,0
2023-05-27,North East,OH Region,17,0,1
2023-05-27,North West,OH Region,7,0,0
2023-05-27,Ontario,Province,406,36,23
2023-05-27,Toronto,OH Region,101,6,3
2023-05-27,West,OH Region,128,21,16
2023-05-20,Central,OH Region,120,6,3
2023-05-20,East,OH Region,55,4,0
2023-05-20,North East,OH Region,28,0,0
2023-05-20,North West,OH Region,12,0,0
2023-05-20,Ontario,Province,430,33,25
2023-05-20,Toronto,OH Region,102,9,8
2023-05-20,West,OH Region,113,14,13
2023-05-13,Central,OH Region,102,4,3
2023-05-13,East,OH Region,71,2,2
2023-05-13,North East,OH Region,30,0,0
2023-05-13,North West,OH Region,8,0,0
2023-05-13,Ontario,Province,448,34,24
2023-05-13,Toronto,OH Region,108,13,4
2023-05-13,West,OH Region,129,14,13
2023-05-06,Central,OH Region,101,7,2
2023-05-06,East,OH Region,91,2,2
2023-05-06,North East,OH Region,30,0,1
2023-05-06,North West,OH Region,14,0,0
2023-05-06,Ontario,Province,480,40,27
2023-05-06,Toronto,OH Region,113,13,7
2023-05-06,West,OH Region,131,17,14
2023-04-29,Central,OH Region,133,8,2
2023-04-29,East,OH Region,111,3,0
2023-04-29,North East,OH Region,29,0,0
2023-04-29,North West,OH Region,14,0,0
2023-04-29,Ontario,Province,575,36,22
2023-04-29,Toronto,OH Region,140,11,5
2023-04-29,West,OH Region,147,13,13
2023-04-22,Central,OH Region,169,8,4
