reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.025,12
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.1,19
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.25,26
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.5,33
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.75,39
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.9,46
2026-04-25,wk inc covid hosp,-1,2026-04-18,Central,quantile,0.975,51
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.025,15
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.1,23
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.25,30
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.5,37
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.75,44
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.9,52
2026-04-25,wk inc covid hosp,0,2026-04-25,Central,quantile,0.975,66
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.025,7
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.1,19
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.25,27
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.5,33
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.75,40
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.9,47
2026-04-25,wk inc covid hosp,1,2026-05-02,Central,quantile,0.975,57
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.025,3
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.1,15
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.25,21
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.5,27
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.75,33
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.9,38
2026-04-25,wk inc covid hosp,2,2026-05-09,Central,quantile,0.975,51
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.025,0
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.1,13
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.25,20
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.5,26
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.75,33
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.9,39
2026-04-25,wk inc covid hosp,3,2026-05-16,Central,quantile,0.975,60
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.025,14
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.1,20
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.25,27
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.5,34
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.75,41
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.9,48
2026-04-25,wk inc covid hosp,-1,2026-04-18,East,quantile,0.975,54
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.025,11
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.1,22
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.25,28
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.5,34
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.75,40
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.9,46
2026-04-25,wk inc covid hosp,0,2026-04-25,East,quantile,0.975,56
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.025,6
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.1,18
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.25,25
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.5,31
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.75,38
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.9,45
2026-04-25,wk inc covid hosp,1,2026-05-02,East,quantile,0.975,56
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.025,3
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.1,14
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.25,21
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.5,27
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.75,33
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.9,39
2026-04-25,wk inc covid hosp,2,2026-05-09,East,quantile,0.975,46
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.025,0
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.1,11
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.25,18
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.5,24
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.75,30
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.9,36
2026-04-25,wk inc covid hosp,3,2026-05-16,East,quantile,0.975,49
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.025,0
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.1,1
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.25,4
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.5,7
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.75,10
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.9,13
2026-04-25,wk inc covid hosp,-1,2026-04-18,North East,quantile,0.975,16
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.025,0
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.1,0
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.25,2
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.5,5
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.75,7
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.9,10
2026-04-25,wk inc covid hosp,0,2026-04-25,North East,quantile,0.975,14
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.025,0
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.1,0
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.25,3
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.5,5
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.75,7
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.9,10
2026-04-25,wk inc covid hosp,1,2026-05-02,North East,quantile,0.975,14
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.025,0
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.1,0
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.25,2
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.5,4
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.75,7
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.9,10
2026-04-25,wk inc covid hosp,2,2026-05-09,North East,quantile,0.975,14
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.025,0
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.1,0
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.25,2
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.5,4
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.75,6
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.9,9
2026-04-25,wk inc covid hosp,3,2026-05-16,North East,quantile,0.975,14
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.025,86
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.1,113
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.25,130
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.5,152
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.75,175
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.9,195
2026-04-25,wk inc covid hosp,-1,2026-04-18,Ontario,quantile,0.975,214
2026-04-25,wk inc covid hosp,0,2026-04-25,Ontario,quantile,0.025,64
2026-04-25,wk inc covid hosp,0,2026-04-25,Ontario,quantile,0.1,106
